Queencard; (G)I-DLE
Chug Jug With You; Leonz
Voices In My Head; Vicetone, Chelsea Collins
BURN IT DOWN; Linkin Park
Royalty; Egzod, Maestro Chives, Neoni
Swim; Chase Atlantic
The Matrix; Mother Mother
Me and the Devil; Soap&Skin
we fell in love in october; girl in red
Breakfast; Dove Cameron
Sex, Drugs, Etc.; Beach Weather
Flawless; The Neighbourhood
ZITTI E BUONI; Måneskin
Beggin'; Måneskin
MIDDLE OF THE NIGHT; Elley Duhé
HONEY (ARE U COMING?); Måneskin
older; Isabel LaRosa
People You Know; Selena Gomez
i'm yours; Isabel LaRosa
Only In My Mind; Kenya Grace
MONEY ON THE DASH; Elley Duhé, Whethan
The Color Violet; Tory Lanez
10:35; Tiësto, Tate McRae
LOOK DON’T TOUCH (w/ cade clair); Odetari, cade clair
eyes don't lie; Isabel LaRosa
greedy; Tate McRae
You Spin Me Round (Like a Record); Dead Or Alive
Head Over Heels - Dave Bascombe 7" N.Mix; Tears For Fears, Dave Bascombe
Psycho Killer - 2005 Remaster; Talking Heads
Rock Me Amadeus; Falco
(I Just) Died In Your Arms; Cutting Crew
Out of Touch; Daryl Hall & John Oates
I Ran (So Far Away); A Flock Of Seagulls
Casanova; Soolking, Gazo
Automotivo Bibi Fogosa; Bibi Babydoll, Dj Brunin XM, KZA Produções
Mama's Boy; Dominic Fike
Rindu Semalam; Titi Kamal
LOVELY BASTARDS; ZWE1HVNDXR, yatashigang
Own Paradise (Slowed); LXAES
The Lost Soul Down X Lost Soul; NBSPLV
Лес поцелуев; Твоё далеко
Первый снег; Сова
Герой; DAKOOKA
The Feeling - Lost Frequencies & Andromedik Deluxe Mix; Lost Frequencies, Andromedik
Suffocation - Slowed; noturgf
Russian Girl; Женя Любич
Strangers; Kenya Grace
Butterfly; SMiLE.dk
Duvet; bôa






