Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1QxcWlk8PivolUaWcpAoNq,"1CcPlAmcnJjC4FnaPVzv2v","Who Is She ?","Neveroddoreven","I Monster",2005-01-27,213373,74,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"downtempo",0.392,0.802,1,-4.014,0,0.0418,0.076,0.00908,0.0925,0.101,152.734,4
0yNiaePZow0ycdrmLV0J7y,"2Waw2sSbqvAwK8NwACNjVo","1985","THE INSIDE OUTTAKES","Bo Burnham",2022-06-02,146654,71,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"comic,pov: indie",0.646,0.724,4,-7.466,0,0.0475,0.0432,0,0.333,0.894,155.85,4
2RZWiishrE4Tygv9R7zuZe,"6rniTPs9zN26kYnkPdFl1U","Animal","Party Favors","Sir Chloe",2020-10-23,160518,71,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"indie pop,pov: indie",0.495,0.457,7,-6.072,1,0.0306,0.407,0.00000125,0.142,0.342,82.825,4
6BFnRhvKCclDQOajt8dBGi,"00FQb4jTyendYWaN8pK0wa","Diet Mountain Dew","Born To Die – Paradise Edition (Special Version)","Lana Del Rey",2012-01-01,222920,73,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"art pop,pop",0.442,0.68,10,-5.971,0,0.0858,0.284,0,0.421,0.601,176.09,4
0sTlGEld0h8kIPZaKDYUf4,"1QfpRUtH14JLoY6F6AYmwt","Notion","Notion","The Rare Occasions",2021-12-02,195120,83,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"la indie",0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,4
5ff77CZZUpY8Gvu5GuA6vb,"5arKwJZEvT5uKq4o0JfqR4","HAUNTED","HAUNTED","Isabel LaRosa",2022-02-24,137851,67,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"dark r&b,hyperpop,sped up",0.64,0.69,5,-6.637,0,0.207,0.0169,0.0000019,0.152,0.629,121.048,4
5K3SJuYEkvvrLbzOjPyRi1,"25jJ6vyXwTRa0e6XCcdR6U","BABYDOLL (Speed)","BABYDOLL (Speed)","Ari Abdul",2022-04-01,156650,80,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"dark r&b,sped up",0.552,0.582,11,-5.535,1,0.0404,0.0813,0.205,0.177,0.538,105.483,4
3WlVUkLgGYByiGj8gF4erq,"6oBm8HB0yfrIc9IHbxs6in","I Follow Rivers","Wounded Rhymes (Bonus Version)","Lykke Li",2011,228466,57,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"electropop,indietronica,neo-synthpop,swedish electropop,swedish indie pop,swedish pop",0.599,0.533,9,-14.032,0,0.0472,0.475,0.00153,0.235,0.607,122.262,4
1SHB1hp6267UK9bJQUxYvO,"1nVq0hKIVReeaiB3xJgKf0","Судно (Борис Рижий)","Этажи","Molchat Doma",2018-09-07,141394,76,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"belarusian indie,russian post-punk,sovietwave",0.484,0.75,1,-4.176,1,0.0685,0.697,0.862,0.105,0.467,159.992,4
5K2onWVFDevmZ5y9AgiEcr,"1rPMCfJhANfBT78l2wf4d6","Fluxxwave","Fluxxwave","Clovis Reyes",2023-05-07,150441,79,spotify:user:xpzopdklqytk4p7fnd1wtzvh0,2023-12-20T06:29:52Z,"sped up",0.512,0.468,5,-9.144,0,0.0643,0.0303,0.0121,0.26,0.188,75.304,4
